Timestamp,Difficulty [Introduction to Programming I],Difficulty [Introduction to Programming II],Difficulty [Computational Mathematics],Difficulty [Discrete Mathematics],Difficulty [Fundamentals of Computer Science],Difficulty [How Computers Work],Difficulty [Algorithms and Data Structures I],Difficulty [Web Development],Time [Introduction to Programming I],Time [Introduction to Programming II],Time [Computational Mathematics],Time [Discrete Mathematics],Time [Fundamentals of Computer Science],Time [How Computers Work],Time [Algorithms and Data Structures I],Time [Web Development],Quality [Introduction to Programming I],Quality [Introduction to Programming II],Quality [Computational Mathematics],Quality [Discrete Mathematics],Quality [Fundamentals of Computer Science],Quality [How Computers Work],Quality [Algorithms and Data Structures I],Quality [Web Development],Self-Learning [Introduction to Programming I],Self-Learning [Introduction to Programming II],Self-Learning [Computational Mathematics],Self-Learning [Discrete Mathematics],Self-Learning [Fundamentals of Computer Science],Self-Learning [How Computers Work],Self-Learning [Algorithms and Data Structures I],Self-Learning [Web Development],Learning [Introduction to Programming I],Learning [Introduction to Programming II],Learning [Computational Mathematics],Learning [Discrete Mathematics],Learning [Fundamentals of Computer Science],Learning [How Computers Work],Learning [Algorithms and Data Structures I],Learning [Web Development],Interest [Introduction to Programming I],Interest [Introduction to Programming II],Interest [Computational Mathematics],Interest [Discrete Mathematics],Interest [Fundamentals of Computer Science],Interest [How Computers Work],Interest [Algorithms and Data Structures I],Interest [Web Development]
05/09/2022 21:16:33,Very Easy,Difficult,Moderate,Moderate,Moderate,,Moderate,Moderate,0-2,10+,4-6,4-6,4-6,,6-8,10+,Very Good,Good,Normal,Normal,Normal,,Good,Normal,Totally sufficient,Just sufficient,Just sufficient,Just sufficient,Just sufficient,,Just sufficient,Hardly sufficient,A Lot,A Good Amount,,,,,,A Lot,Interesting,Fine,Fine,Fine,Fine,,,Fine
06/09/2022 15:24:11,Very Easy,Moderate,Moderate,Moderate,,,,,0-2,4-6,4-6,4-6,,,,,Normal,Normal,Poor,Normal,,,,,Just sufficient,Just sufficient,Hardly sufficient,Just sufficient,,,,,A Little,A Good Amount,A Good Amount,A Good Amount,,,,,Fine,Fine,Interesting,Interesting,,,,
07/09/2022 20:35:30,Moderate,,Difficult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/09/2022 19:24:53,Easy,Moderate,Moderate,Difficult,Moderate,Not Applicable,Difficult,Moderate,4-6,6-8,6-8,8-10,6-8,Not Applicable,6-8,4-6,Good,Normal,Poor,Poor,Normal,Not Applicable,Normal,Normal,Totally sufficient,Hardly sufficient,Just sufficient,Hardly sufficient,Mostly sufficient,Not Applicable,Hardly sufficient,Just sufficient,A Lot,A Lot,A Lot,A Good Amount,A Good Amount,Not Applicable,A Good Amount,A Lot,Very Interesting,Interesting,Fine,Fine,Interesting,Not Applicable,Very Interesting,Interesting
08/09/2022 22:36:32,Very Easy,Moderate,Easy,Moderate,Difficult,Not Applicable,Moderate,Difficult,4-6,8-10,4-6,6-8,4-6,Not Applicable,2-4,8-10,Very Good,Good,Poor,Normal,Normal,Not Applicable,Good,Normal,Totally sufficient,Mostly sufficient,Just sufficient,Mostly sufficient,Totally sufficient,Not Applicable,Mostly sufficient,Just sufficient,A Little,A Little,A Little,A Good Amount,A Lot,Not Applicable,A Good Amount,A Good Amount,Interesting,Boring,Fine,Very Interesting,Very Interesting,Not Applicable,Interesting,Fine
15/09/2022 08:22:29,Very Easy,,,,,,,,2-4,,,,,,,,Very Good,,,,,,,,Mostly sufficient,,,,,,,,A Good Amount,,,,,,,,Very Interesting,,,,,,,
17/09/2022 20:12:52,Easy,Moderate,Moderate,Easy,Difficult,Easy,Easy,Moderate,4-6,4-6,4-6,4-6,4-6,2-4,4-6,6-8,Good,Poor,Very Poor,Very Good,Normal,Normal,Good,Poor,Totally sufficient,Just sufficient,Hardly sufficient,Totally sufficient,Mostly sufficient,Mostly sufficient,Totally sufficient,Just sufficient,A Lot,A Little,A Little,A Lot,A Good Amount,A Good Amount,A Lot,A Good Amount,Interesting,Fine,Very Boring,Very Interesting,Fine,Boring,Interesting,Fine
17/09/2022 20:20:13,Easy,Not Applicable,Moderate,,Very Difficult,Not Applicable,Not Applicable,Not Applicable,4-6,Not Applicable,6-8,Not Applicable,8-10,Not Applicable,Not Applicable,Not Applicable,Very Good,Not Applicable,Poor,Not Applicable,Very Poor,Not Applicable,Not Applicable,Not Applicable,Totally sufficient,Not Applicable,Hardly sufficient,Not Applicable,Not at all,Not Applicable,Not Applicable,Not Applicable,A Lot,Not Applicable,A Good Amount,Not Applicable,A Good Amount,Not Applicable,Not Applicable,Not Applicable,Very Interesting,Not Applicable,Fine,,Interesting,Not Applicable,Not Applicable,Not Applicable
18/09/2022 13:15:13,Easy,Moderate,Easy,Moderate,Moderate,Very Easy,Moderate,Very Difficult,2-4,6-8,2-4,2-4,2-4,0-2,6-8,8-10,Good,Good,Good,Good,Good,Not Applicable,Good,Very Poor,Mostly sufficient,Mostly sufficient,Mostly sufficient,Hardly sufficient,Just sufficient,Not Applicable,Mostly sufficient,Not at all,A Good Amount,A Lot,A Good Amount,A Good Amount,A Good Amount,Not Applicable,A Lot,Nothing,Interesting,Very Interesting,Interesting,Interesting,Interesting,Not Applicable,Very Interesting,Very Boring
23/09/2022 11:17:59,Easy,Moderate,Moderate,Moderate,Difficult,Not Applicable,Difficult,Moderate,4-6,4-6,6-8,6-8,6-8,Not Applicable,8-10,6-8,Very Good,Good,Normal,Good,Good,Not Applicable,Good,Poor,Totally sufficient,Totally sufficient,Totally sufficient,Totally sufficient,Totally sufficient,Not Applicable,Totally sufficient,Totally sufficient,A Lot,A Good Amount,A Good Amount,A Lot,A Lot,Not Applicable,A Lot,Nothing,Very Interesting,Very Interesting,Interesting,Very Interesting,Interesting,Not Applicable,Interesting,Very Boring
31/10/2022 09:34:47,Moderate,Moderate,Moderate,Difficult,Difficult,Not Applicable,Not Applicable,Moderate,0-2,2-4,2-4,6-8,6-8,Not Applicable,Not Applicable,10+,Very Good,Good,Normal,Normal,Normal,Not Applicable,Not Applicable,Very Poor,Totally sufficient,Just sufficient,Hardly sufficient,Hardly sufficient,Hardly sufficient,Not Applicable,Not Applicable,Not at all,A Good Amount,A Little,A Good Amount,A Good Amount,A Good Amount,Not Applicable,Not Applicable,A Little,Very Interesting,Interesting,Fine,Fine,Fine,Not Applicable,Not Applicable,Very Interesting
28/11/2022 19:28:07,Easy,Difficult,Easy,Difficult,Easy,Easy,Difficult,Difficult,6-8,8-10,2-4,6-8,2-4,2-4,6-8,8-10,Very Good,Very Good,Good,Normal,Normal,Normal,Normal,Poor,Totally sufficient,Totally sufficient,Totally sufficient,Totally sufficient,Totally sufficient,Totally sufficient,Just sufficient,Just sufficient,A Lot,A Lot,A Good Amount,A Good Amount,A Good Amount,A Good Amount,A Lot,A Good Amount,Very Interesting,Very Interesting,Very Interesting,Interesting,Very Interesting,Very Interesting,Very Interesting,Interesting
23/01/2023 14:21:01,Very Easy,,Difficult,,,,,,2-4,,4-6,,,,,,Very Good,,Very Poor,,,,,,Mostly sufficient,,Hardly sufficient,,,,,,A Little,,A Good Amount,,,,,,Interesting,,Fine,,,,,
05/02/2023 13:54:14,Very Easy,Easy,Very Difficult,Moderate,Difficult,Difficult,Moderate,Very Easy,0-2,2-4,4-6,6-8,8-10,0-2,4-6,2-4,Very Good,Very Good,Poor,Good,Normal,Good,Poor,Poor,Totally sufficient,Totally sufficient,Hardly sufficient,Just sufficient,Mostly sufficient,Mostly sufficient,Hardly sufficient,Not at all,A Little,A Little,A Good Amount,A Lot,A Lot,Nothing,A Good Amount,A Little,Very Interesting,Very Interesting,Fine,Interesting,Interesting,Boring,Fine,Boring
05/02/2023 14:25:42,Easy,,,Moderate,Moderate,Moderate,,,6-8,,,6-8,6-8,,,,Good,,,Normal,Normal,,,,Mostly sufficient,,,,,,,,,,,,,,,,,,,,,,,
16/02/2023 07:12:02,Not Applicable,Moderate,Easy,Easy,Easy,Not Applicable,Easy,Difficult,Not Applicable,6-8,4-6,4-6,4-6,Not Applicable,4-6,8-10,Not Applicable,Normal,Very Poor,Normal,Normal,Not Applicable,Good,Very Poor,Not Applicable,Not at all,Just sufficient,Mostly sufficient,Mostly sufficient,Not Applicable,Mostly sufficient,Not at all,Not Applicable,A Little,A Good Amount,A Good Amount,A Good Amount,Not Applicable,A Good Amount,Nothing,Not Applicable,Fine,Interesting,Boring,Interesting,Not Applicable,Interesting,Very Boring
25/02/2023 06:07:48,Very Easy,,Moderate,,,,,,2-4,,4-6,,,,,,Normal,,Very Poor,,,,,,Just sufficient,,Not at all,,,,,,Nothing,,Nothing,,,,,,Boring,,Very Boring,,,,,
09/03/2023 17:53:05,Easy,,Easy,,,,,,4-6,,6-8,,,,,,Very Good,,Good,,,,,,Totally sufficient,,Mostly sufficient,,,,,,A Lot,,A Good Amount,,,,,,Very Interesting,,Fine,,,,,
10/03/2023 11:02:33,Easy,Moderate,Easy,Easy,Moderate,Easy,Moderate,Moderate,2-4,2-4,2-4,2-4,2-4,2-4,2-4,2-4,Very Good,Very Good,Normal,Normal,Normal,Normal,Normal,Good,Just sufficient,Just sufficient,Totally sufficient,Totally sufficient,Totally sufficient,Totally sufficient,Totally sufficient,Just sufficient,A Lot,A Lot,A Little,A Little,A Good Amount,A Good Amount,A Good Amount,A Lot,Very Interesting,Very Interesting,Boring,Boring,Interesting,Fine,Interesting,Interesting
10/03/2023 12:45:45,Easy,,,Difficult,,,,,4-6,,,8-10,,,,,Poor,,,Good,,,,,Mostly sufficient,,,Mostly sufficient,,,,,A Little,,,A Good Amount,,,,,Fine,,,Fine,,,,
10/03/2023 16:43:09,Easy,Easy,Easy,Moderate,,,,Moderate,4-6,10+,4-6,6-8,,,,10+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2023 17:40:51,Very Easy,Not Applicable,Not Applicable,Easy,Not Applicable,Not Applicable,Not Applicable,Not Applicable,6-8,Not Applicable,6-8,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Very Good,Not Applicable,Not Applicable,Good,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Totally sufficient,Not Applicable,Not Applicable,Mostly sufficient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,A Good Amount,Not Applicable,Not Applicable,A Lot,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Very Interesting,Not Applicable,Not Applicable,Very Interesting,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10/03/2023 20:11:05,Easy,Moderate,Moderate,Moderate,Moderate,Not Applicable,Difficult,Difficult,4-6,6-8,4-6,4-6,4-6,Not Applicable,6-8,8-10,Good,Normal,Normal,Good,Poor,Not Applicable,Good,Poor,Just sufficient,Mostly sufficient,Totally sufficient,Totally sufficient,Totally sufficient,Not Applicable,Totally sufficient,Totally sufficient,A Good Amount,A Good Amount,A Good Amount,A Lot,A Little,Not Applicable,A Lot,A Lot,Interesting,Fine,Interesting,Interesting,Very Boring,Not Applicable,Very Interesting,Very Boring
11/03/2023 15:56:55,Moderate,Not Applicable,Not Applicable,Moderate,Not Applicable,Moderate,Not Applicable,Very Difficult,6-8,Not Applicable,Not Applicable,4-6,Not Applicable,4-6,Not Applicable,10+,Good,Not Applicable,Not Applicable,Very Good,Not Applicable,Normal,Not Applicable,Very Poor,Totally sufficient,Not Applicable,Not Applicable,Totally sufficient,Not Applicable,Just sufficient,Not Applicable,Not at all,A Good Amount,Not Applicable,Not Applicable,A Lot,Not Applicable,A Good Amount,Not Applicable,A Little,Very Interesting,Not Applicable,Not Applicable,Very Interesting,Not Applicable,Interesting,Not Applicable,Fine
11/03/2023 17:26:35,Moderate,Moderate,Difficult,Difficult,Difficult,Moderate,Difficult,Easy,4-6,6-8,6-8,6-8,6-8,2-4,4-6,2-4,Good,Good,Poor,Good,Good,Good,Good,Poor,Mostly sufficient,Mostly sufficient,Hardly sufficient,Hardly sufficient,Just sufficient,Just sufficient,Just sufficient,Hardly sufficient,A Good Amount,A Good Amount,A Good Amount,A Lot,A Lot,A Good Amount,A Good Amount,A Little,Interesting,Fine,Fine,Interesting,Very Interesting,Interesting,Interesting,Boring
12/03/2023 17:44:21,Easy,Difficult,Moderate,Moderate,Difficult,,Moderate,Moderate,2-4,6-8,4-6,4-6,6-8,,4-6,6-8,Very Good,Normal,Good,Good,Poor,,Very Good,Poor,Totally sufficient,Just sufficient,Just sufficient,Just sufficient,Not at all,,Mostly sufficient,Hardly sufficient,A Lot,A Lot,A Good Amount,A Good Amount,A Good Amount,,A Lot,A Good Amount,Very Interesting,Fine,Interesting,Interesting,Fine,,Very Interesting,Interesting
13/03/2023 13:38:59,Moderate,Difficult,Moderate,Moderate,Moderate,Easy,Difficult,Moderate,4-6,6-8,2-4,2-4,2-4,0-2,8-10,4-6,Good,Good,Normal,Normal,Normal,Normal,Normal,Good,Mostly sufficient,Just sufficient,Mostly sufficient,Just sufficient,Just sufficient,Not Applicable,Hardly sufficient,Just sufficient,A Good Amount,A Good Amount,A Little,A Lot,A Lot,Not Applicable,A Little,A Lot,Interesting,Interesting,Fine,Boring,Fine,Fine,Very Boring,Interesting
14/03/2023 17:04:10,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Moderate,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,6-8,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Normal,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Just sufficient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,A Little,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Boring,Not Applicable
16/03/2023 12:49:19,Very Easy,Moderate,Difficult,Difficult,Very Difficult,Not Applicable,Moderate,Moderate,Not Applicable,2-4,Not Applicable,2-4,0-2,Not Applicable,0-2,Not Applicable,Very Good,Very Good,Normal,Normal,Normal,Not Applicable,Good,Very Poor,Totally sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,Not Applicable,Mostly sufficient,Not at all,A Lot,A Lot,A Lot,A Lot,A Lot,Not Applicable,A Good Amount,Nothing,Very Interesting,Very Interesting,Fine,Fine,Interesting,Not Applicable,Interesting,Very Boring
17/03/2023 11:59:03,Easy,Moderate,Moderate,Moderate,Difficult,Not Applicable,Difficult,Difficult,2-4,6-8,2-4,2-4,6-8,Not Applicable,6-8,6-8,Good,Good,Very Poor,Normal,Poor,Not Applicable,Normal,Poor,Totally sufficient,Just sufficient,Hardly sufficient,Just sufficient,Hardly sufficient,Not Applicable,Just sufficient,Hardly sufficient,A Good Amount,A Little,A Good Amount,A Good Amount,A Good Amount,Not Applicable,A Lot,A Lot,Interesting,Fine,Fine,Fine,Very Boring,Not Applicable,Interesting,Interesting
20/03/2023 12:23:15,Very Easy,,Moderate,Moderate,Difficult,,Difficult,Moderate,0-2,,2-4,2-4,4-6,,4-6,6-8,Very Good,,Normal,Normal,Normal,,Good,Very Poor,Totally sufficient,,Mostly sufficient,Mostly sufficient,Just sufficient,,Mostly sufficient,Not at all,A Lot,,A Good Amount,A Good Amount,A Lot,,A Lot,A Lot,Very Interesting,,Fine,Interesting,Interesting,,Interesting,Fine
27/03/2023 07:16:04,Easy,Not Applicable,Not Applicable,Moderate,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2-4,Not Applicable,Not Applicable,6-8,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Very Good,Not Applicable,Not Applicable,Good,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Totally sufficient,Not Applicable,Not Applicable,Just sufficient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,A Lot,Not Applicable,Not Applicable,A Good Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Very Interesting,Not Applicable,Not Applicable,Interesting,Not Applicable,Not Applicable,Not Applicable,Not Applicable
27/03/2023 14:42:11,Easy,Moderate,Moderate,Moderate,Easy,Easy,Moderate,Difficult,2-4,6-8,4-6,4-6,2-4,2-4,8-10,8-10,Good,Good,Good,Good,Normal,Normal,Very Good,Very Poor,Mostly sufficient,Just sufficient,Mostly sufficient,Mostly sufficient,Just sufficient,Just sufficient,Mostly sufficient,Hardly sufficient,A Good Amount,A Good Amount,A Good Amount,A Good Amount,A Good Amount,A Good Amount,A Lot,A Little,Very Interesting,Interesting,Interesting,Interesting,Fine,Fine,Very Interesting,Very Boring
28/03/2023 14:03:59,Very Easy,Easy,Difficult,Difficult,Not Applicable,Moderate,Not Applicable,Not Applicable,6-8,8-10,6-8,10+,Not Applicable,8-10,Not Applicable,Not Applicable,Normal,Normal,Poor,Good,Not Applicable,Good,Not Applicable,Not Applicable,Just sufficient,Just sufficient,Hardly sufficient,Just sufficient,Not Applicable,Just sufficient,Not Applicable,Not Applicable,A Little,A Good Amount,A Little,A Lot,Not Applicable,A Lot,Not Applicable,Not Applicable,Boring,Boring,Boring,Interesting,Not Applicable,Interesting,Not Applicable,Not Applicable
28/03/2023 16:26:01,Easy,Not Applicable,Difficult,Very Difficult,Difficult,Not Applicable,Not Applicable,Not Applicable,8-10,Not Applicable,8-10,10+,10+,Not Applicable,Not Applicable,Not Applicable,Very Good,Not Applicable,Good,Good,Good,Not Applicable,Not Applicable,Not Applicable,Totally sufficient,Not Applicable,Mostly sufficient,Just sufficient,Mostly sufficient,Not Applicable,Not Applicable,Not Applicable,A Little,Not Applicable,A Good Amount,A Lot,A Lot,Not Applicable,Not Applicable,Not Applicable,Very Interesting,Not Applicable,Interesting,Fine,Interesting,Not Applicable,Not Applicable,Not Applicable
28/03/2023 16:29:37,Easy,,,Moderate,Moderate,,Moderate,Difficult,0-2,,,2-4,2-4,,4-6,6-8,Good,,,Good,Normal,,Normal,Very Poor,Totally sufficient,,,Mostly sufficient,Just sufficient,,Mostly sufficient,Not at all,A Lot,,,A Lot,A Lot,,A Lot,Nothing,Interesting,,,Fine,Fine,,Fine,Very Boring
28/03/2023 16:29:57,Very Easy,,,Very Difficult,,,,,4-6,,,10+,,,,,Good,,,Very Poor,,,,,Totally sufficient,,,Hardly sufficient,,,,,A Lot,,,Nothing,,,,,Very Interesting,,,Boring,,,,
28/03/2023 17:07:34,Very Easy,,,Moderate,,,,,0-2,,,6-8,,,,,Very Good,,,Good,,,,,Totally sufficient,,,Just sufficient,,,,,A Good Amount,,,A Lot,,,,,Very Interesting,,,Interesting,,,,
28/03/2023 19:58:00,Easy,Moderate,Difficult,Moderate,Moderate,Not Applicable,Easy,Moderate,4-6,6-8,6-8,6-8,6-8,Not Applicable,4-6,6-8,Very Good,Very Good,Poor,Normal,Good,Not Applicable,Good,Poor,Totally sufficient,Totally sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,Not Applicable,Mostly sufficient,Just sufficient,A Good Amount,A Good Amount,A Good Amount,A Good Amount,A Good Amount,Not Applicable,A Lot,A Little,Very Interesting,Interesting,Boring,Fine,Interesting,Not Applicable,Interesting,Very Boring
29/03/2023 04:11:09,Not Applicable,Not Applicable,,Difficult,Difficult,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,6-8,4-6,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Good,Good,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Just sufficient,Hardly sufficient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,A Lot,A Good Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Very Interesting,Very Interesting,Not Applicable,Not Applicable,Not Applicable
29/03/2023 16:22:54,Very Easy,,,Difficult,,,,,2-4,,,8-10,,,,,Good,,,Poor,,,,,Totally sufficient,,,Hardly sufficient,,,,,Nothing,,,A Good Amount,,,,,Fine,,,Interesting,,,,
02/04/2023 03:30:32,Moderate,,,Moderate,,,,,4-6,,,6-8,,,,,Good,,,Good,,,,,Totally sufficient,,,Totally sufficient,,,,,A Lot,,,A Good Amount,,,,,Interesting,,,Interesting,,,,
02/04/2023 16:30:15,Moderate,Not Applicable,Not Applicable,Difficult,Not Applicable,Not Applicable,Not Applicable,Not Applicable,6-8,Not Applicable,Not Applicable,10+,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Very Good,Not Applicable,Not Applicable,Normal,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Mostly sufficient,Not Applicable,Not Applicable,Just sufficient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,A Lot,Not Applicable,Not Applicable,A Good Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Very Interesting,Not Applicable,Not Applicable,Interesting,Not Applicable,Not Applicable,Not Applicable,Not Applicable
13/06/2023 11:55:56,Easy,Moderate,Easy,Easy,Easy,Very Easy,Easy,Easy,0-2,6-8,6-8,6-8,6-8,2-4,4-6,4-6,Good,Good,Poor,Good,Very Good,Very Good,Good,Normal,Just sufficient,Just sufficient,Hardly sufficient,Just sufficient,Mostly sufficient,Mostly sufficient,Totally sufficient,Hardly sufficient,A Little,A Lot,A Little,A Little,A Good Amount,A Lot,A Lot,A Little,Fine,Fine,Very Boring,Fine,Fine,Very Interesting,Very Interesting,Fine
12/03/2023 20:19:00,Easy,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
